crime_code,crime_name,month_end_date,detected,registered
1,Murder,2017-12-31,4,7
2,Att.to.C.Murder,2017-12-31,12,16
3,Dacoity,2017-12-31,3,4
4,Robbery (Excluding Chain Snatching),2017-12-31,55,84
5,Robbery -Chain Snatching,2017-12-31,4,12
6,Extortion,2017-12-31,15,21
7,H.B.T.Day / Night,2017-12-31,49,205
8,Thefts,2017-12-31,126,643
9,M.V.Thefts.,2017-12-31,44,376
10,Hurt,2017-12-31,272,377
11,Riots.,2017-12-31,27,38
12,Rape,2017-12-31,50,57
13,Molestaion,2017-12-31,157,224
14,Other I.P.C.,2017-12-31,1433,2186
1,Murder,2018-01-31,9,10
2,Att.to.C.Murder,2018-01-31,21,23
3,Dacoity,2018-01-31,0,1
4,Robbery (Excluding Chain Snatching),2018-01-31,65,88
5,Robbery -Chain Snatching,2018-01-31,5,10
6,Extortion,2018-01-31,16,20
7,H.B.T.Day / Night,2018-01-31,73,220
8,Thefts,2018-01-31,144,539
9,M.V.Thefts.,2018-01-31,53,344
10,Hurt,2018-01-31,361,481
11,Riots.,2018-01-31,60,101
12,Rape,2018-01-31,49,64
13,Molestaion,2018-01-31,164,240
14,Other I.P.C.,2018-01-31,766,1484
