Sr. No.,Crime Heads,Current Month 01.01.2018 To,,Previous Month 01.12.2017 To,,Current Year 01.01.2018 To,,% of Detec- tion,Previous Year 01.01.2017 To,,% of Detec- tion,Difference In Reg.
,,31.01.2018,,31.12.2017,,31.01.2018,,,31.01.2017,,,
,,R,D,R,D,R,D,,R,D,,
1,Murder,10,9,7,4,10,9,90,13,12,92,- 3
2,Att.to.C.Murder,23,21,16,12,23,21,91,19,17,89,+ 4
3,Dacoity,1,0,4,3,1,0,0,1,1,100,+ 0
4,Robbery (Excluding Chain Snatching),88,65,84,55,88,65,74,74,45,61,+ 14
5,Robbery -Chain Snatching,10,5,12,4,10,5,50,14,7,50,- 4
6,Extortion,20,16,21,15,20,16,80,9,8,89,+ 11
7,H.B.T.Day / Night,220,73,205,49,220,73,33,214,55,26,+ 6
8,Thefts,539,144,643,126,539,144,27,586,137,23,- 47
9,M.V.Thefts.,344,53,376,44,344,53,15,272,43,16,+ 72
10,Hurt,481,361,377,272,481,361,75,380,278,73,+ 101
11,Riots.,101,60,38,27,101,60,59,34,23,68,+ 67
12,Rape,64,49,57,50,64,49,77,35,26,74,+ 29
13,Molestaion,240,164,224,157,240,164,68,193,137,71,+ 47
14,Other I.P.C.,"1,484",766,"2,186","1,433","1,484",766,52,"1,289",643,50,+ 195
,Total,"3,625","1,786","4,250","2,251","3,625","1,786",791,"3,133","1,432",882,492 +
