Sr. No.,Crime Heads,Current Month,,Previous Month,,Current Year,,% of Det.,Previous Year,,% of Det.
,,01/10/2018 to 31/10/,2018,01/09/2018 to 30/09/,2018,01/01/2018 to 31/10/,2018,,01/01/2017 to 31/10/,2017,
,,R,D,R,D,R,D,,R,D,
1,Rape u/s 376 IPC (i) Minor,45,40,31,26,465,450,97,355,333,94
,(ii) Major,21,11,28,16,265,224,85,233,183,79
,Total,66,51,59,42,730,674,92,588,516,88
2,Kidnapping of Women (i) Minor,130,70,120,68,1196,924,77,1086,856,79
,(ii) Major,1,1,3,,10,8,80,14,12,86
,Total,131,71,123,68,1206,932,77,1100,868,79
3,Outraging Modesty of Women u/s 354 IPC,286,193,235,164,2182,1769,81,1814,1381,76
4,Intended insult to Modesty of Women u/s 509 IPC.,65,30,41,21,470,306,65,374,212,57
5,Dowry Prohibition Act.,,,,,8,1,13,2,,
6,(a) Dowry related murder u/s 302 IPC,,,,,2,2,100,,,
,(b) Dowry Death u/s 304-B IPC,,,1,1,8,8,100,9,8,89
,(C) Dowry related suicides u/s 306 IPC,1,1,1,1,16,15,94,25,23,92
,(D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,48,5,30,2,395,159,40,433,175,40
7,(a) Murder due to other reasons u/s 302 IPC,1,1,1,1,20,17,85,24,24,100
,(b) Suicides due to other reasons u/s 306 IPC,1,1,5,3,18,15,83,17,13,76
,(c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,5,1,4,1,39,15,38,27,10,37
8,No of cases registered Rape with POCSO,45,40,31,26,465,450,97,355,333,94
,No. of cases registered Molestation with POCSO,52,40,46,37,464,387,83,287,278,97
,No. of cases registered Eve-Teasing with POCSO,1,1,1,,14,13,93,14,12,86
,Other IPC with POCSO,3,2,2,2,61,57,93,29,28,97
,PITA With POSCO (Excluding Rape),,,1,1,3,3,100,2,2,100
Total Crime Against Women,,604,354,500,304,5094,3913,77,4413,3230,73
