Sr. No.,Crime Heads,Current Month,,Previous Month,,Current Year,,% of Detec- tion,Previous Year,,% of Detec- tion
,,01/05/2018 to 31/05/,2018,01/04/2018 to 30/04/,2018,01/01/2018 to 31/05/,2018,,01/01/2017 to 31/05/,2017,
,,R,D,R,D,R,D,,R,D,
1,Rape u/s 376 IPC (i) Minor,34,28,42,37,223,208,93,155,141,91
,(ii) Major,26,17,30,20,136,98,72,120,83,69
,Total,60,45,72,57,359,306,85,275,224,81
2,Kidnapping of Women (i) Minor,116,66,119,71,573,417,73,566,331,58
,(ii) Major,,,2,,5,3,60,5,2,40
,Total,116,66,121,71,578,420,73,571,333,58
3,Outraging Modesty of Women u/s 354 IPC,206,136,231,165,1119,868,78,894,662,74
4,Intended insult to Modesty of Women u/s 509 IPC.,52,26,43,22,242,146,60,177,88,50
5,Dowry Prohibition Act.,,,2,,6,1,17,,,
6,(a) Dowry related murder u/s 302 IPC,,,,,2,2,100,,,
,(b) Dowry Death u/s 304-B IPC,1,,,,4,3,75,5,4,80
,(C) Dowry related suicides u/s 306 IPC,1,1,,,4,3,75,16,14,88
,(D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,40,4,38,10,200,54,27,230,55,24
7,(a) Murder due to other reasons u/s 302 IPC,4,4,5,4,12,8,67,11,10,91
,(b) Suicides due to other reasons u/s 306 IPC,,,2,1,9,6,67,8,6,75
,(c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,2,,5,,16,2,13,16,2,13
8,No of cases registered Rape with POCSO,34,28,42,37,223,208,93,155,141,91
,No. of cases registered Molestation with POCSO,41,30,48,33,209,172,82,107,105,98
,No. of cases registered Eve-Teasing with POCSO,21,18,10,10,47,34,72,38,37,97
,Other IPC with POCSO,2,2,11,7,26,22,85,11,9,82
,PITA With POSCO (Excluding Rape),2,2,,,4,4,100,6,6,100
Total Crime Against Women,,482,282,519,330,2551,1819,71,2203,1398,63
