Sr. No.,Crime Heads,Current,,Previous,,Current,,% of Detec- tion,Previous,,% of Detec- tion,Difference In Reg.
,,Month 01.09.,2018,Month 01.08.,2018,Year 01.01.,2018,,Year 01.01.,2017,,
,,To,,To,,To,,,To,,,
,,30.09.2018,,31.08.2018,,30.09.2018,,,30.09.2017,,,
,,R,D,R,D,R,D,,R,D,,
1,Murder,16,16,9,9,125,120,96,98,94,96,+ 27
2,Att.to.C.Murder,24,19,27,27,198,188,95,147,138,94,+ 51
3,Dacoity,1,1,2,2,27,26,96,23,23,100,+ 4
4,Robbery (Excluding Chain Snatching),76,62,85,69,701,610,87,633,516,82,+ 68
5,Robbery -Chain Snatching,19,6,19,7,112,62,55,136,78,57,- 24
6,Extortion,16,11,27,20,172,143,83,135,109,81,+ 37
7,H.B.T.Day / Night,205,57,207,52,"1,701",769,45,"1,776",767,43,- 75
8,Thefts,470,113,539,126,"4,637","1,597",34,"4,932","1,486",30,- 295
9,M.V.Thefts.,258,47,230,37,"2,387",903,38,"2,160",644,30,+ 227
10,Hurt,458,350,394,277,"3,859","3,466",90,"3,436","2,978",87,+ 423
11,Riots.,40,34,44,38,438,370,84,315,253,80,+ 123
12,Rape,59,42,62,51,651,594,91,525,456,87,+ 126
13,Molestaion,235,164,198,137,"1,896","1,537",81,"1,609","1,227",76,+ 287
14,Other I.P.C.,"1,222",652,"1,415",822,"12,126","8,053",66,"12,213","8,062",66,- 87
,Total,"3,099","1,574","3,258","1,674","29,030","18,438",64,"28,138","16,831",60,+ 892
