pdf_file,sr_no,crime_head,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,current_year_det_pct,previous_year_reg,previous_year_det,previous_year_det_pct,diff_reg_sign,diff_reg_value,current_month_start,current_month_end,current_month,previous_month_start,previous_month_end,current_year_start,current_year_end,previous_year_start,previous_year_end
31.pdf,,Sr.,Crime H,ead,s,Cur,rent,Prev,ious,Cur,rent,%,Prev,ious,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,,No.,,,,Mo,nth,Mo,nth,Ye,ar,of,Ye,ar,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,1,Murder Ch ain Snat,10,10,13,12,82,76,93,94,92,98,-,12,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,2,Att.to.C.Murder tchi ng,18,13,36,29,179,166,93,186,180,97,-,7,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,3,Dacoity,3,2,0,0,8,6,75,10,9,90,-,2,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,4,Robbery (Excluding ching),34,23,21,15,302,254,84,565,506,90,-,263,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,5,Robbery -Chain Sna,5,1,12,2,61,40,66,91,59,65,-,30,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,6,Extortion,12,6,9,6,105,87,83,131,103,79,-,26,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,7,H.B.T.Day / Night,176,47,105,26,840,353,42,"1,182",475,40,-,342,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,8,Thefts,210,40,126,25,"1,719",519,30,"3,315","1,142",34,-,"1,596",01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,9,M.V.Thefts.,241,37,235,31,"1,359",390,29,"1,560",567,36,-,201,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,10,Hurt,224,157,302,189,"1,987","1,642",83,"2,620","2,333",89,-,633,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,11,Riots.,24,16,12,2,171,120,70,230,200,87,-,59,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,12,Rape,48,38,46,26,377,299,79,583,504,86,-,206,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,13,Molestaion,87,43,103,49,985,733,74,"1,546","1,241",80,-,561,01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,14,Other I.P.C.,"7,735","7,211","4,777","4,385","25,499","22,249",87,"11,560","7,810",68,+,"13,939",01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
31.pdf,,Total,"8,827","7,644","5,797","4,797","33,674","26,934",80,"23,673","15,221",64,+,"10,001",01.07.2020,01.06.2020,2020-07,01.01.2020,01.01.2019,31.07.2020,30.06.2020,31.07.2019,
